Sample#,Pit,Increment,Increment 2,Increment 3,Horizon,Soil material,trt,veg, OD fine earth kg/ha , OD COF kg/ha , Total earth kg/ha ,TN %,TC %,fine TN kg/ha,fine TC kg/ha,cof TN kg/ha,cof TC kg/ha,total TN kg/ha,total TC kg/ha,total C/N ratio
89,18,25-50cm,lower mineral,25-C,B,mineral,EB,SW," 22,554 ",," 22,554 ",0.49,12.50,109,2818,,,,,
91,19,O,O,O,O,organic,EB,SW," 165,239 "," 1,462 "," 166,701 ",1.48,43.94,2445,72606,8,778,2453,73384,30
92,19,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 94,446 ",," 94,446 ",0.30,6.83,279,6449,,,,,
93,19,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 472,142 ",," 472,142 ",0.30,7.40,1418,34916,,,,,
94,19,25-C,lower mineral,25-C,B,mineral,EB,SW," 423,595 ",," 423,595 ",0.28,6.76,1188,28645,,,,,
95,19,C,lower mineral,C,C,mineral,EB,SW," 5,269,918 ",," 5,269,918 ",0.16,3.73,8467,196545,,,,,
96,20,O,O,O,O,organic,EB,SW," 160,367 "," 17,005 "," 177,371 ",1.24,38.29,1985,61405,89,8771,2074,70175,34
97,20,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 135,943 ",," 135,943 ",0.33,7.54,447,10257,,,,,
101,21,O,O,O,O,organic,WB,HW," 80,428 "," 5,658 "," 86,087 ",1.36,30.12,1094,24226,74,2737,1168,26963,23
102,21,0-5cm,0-5cm,0-5cm,B,mineral,WB,HW," 213,388 ",," 213,388 ",0.47,8.49,1003,18121,,,,,
